20	-15		5.7402514855
20	-12.5		8.029332137
20	-10		9.1855865354
20	-7.5		9.2061706328
20	-5		8.5392869837
20	-2.5		7.8057320538
20	0		7.5
20	2.5		7.8057320538
20	5		8.5392869837
20	7.5		9.2061706328
20	10		9.1855865354
20	12.5		8.029332137
20	15		5.7402514855
22	-15		5.7402514855
22	-12.5		8.036732447
22	-10		9.2195824811
22	-7.5		9.2824951797
22	-5		8.6606193018
22	-2.5		7.960420077
22	0		7.6668536336
22	2.5		7.960420077
22	5		8.6606193018
22	7.5		9.2824951797
22	10		9.2195824811
22	12.5		8.036732447
22	15		5.7402514855
24	-15		5.7402514855
24	-12.5		8.0582216013
24	-10		9.3184619547
24	-7.5		9.5050024653
24	-5		9.0151850274
24	-2.5		8.4132814503
24	0		8.1556621867
24	2.5		8.4132814503
24	5		9.0151850274
24	7.5		9.5050024653
24	10		9.3184619547
24	12.5		8.0582216013
24	15		5.7402514855
26	-15		5.7402514855
26	-12.5		8.0917291455
26	-10		9.4731215666
26	-7.5		9.8545539935
26	-5		9.5747215251
26	-2.5		9.130384729
26	0		8.9306752574
26	2.5		9.130384729
26	5		9.5747215251
26	7.5		9.8545539935
26	10		9.4731215666
26	12.5		8.0917291455
26	15		5.7402514855
28	-15		5.7402514855
28	-12.5		8.1340160327
28	-10		9.6691368279
28	-7.5		10.3002282751
28	-5		10.2925315912
28	-2.5		10.054605319
28	0		9.9312551992
28	2.5		10.054605319
28	5		10.2925315912
28	7.5		10.3002282751
28	10		9.6691368279
28	12.5		8.1340160327
28	15		5.7402514855
30	-15		5.7402514855
30	-12.5		8.1809760893
30	-10		9.8879030784
30	-7.5		10.8011071009
30	-5		11.105037516
30	-2.5		11.1063608129
30	0		11.0721672766
30	2.5		11.1063608129
30	5		11.105037516
30	7.5		10.8011071009
30	10		9.8879030784
30	12.5		8.1809760893
30	15		5.7402514855
32	-15		5.7402514855
32	-12.5		8.2280252827
32	-10		10.1082336639
32	-7.5		11.3092430424
32	-5		11.9354373604
32	-2.5		12.187216931
32	0		12.2470367477
32	2.5		12.187216931
32	5		11.9354373604
32	7.5		11.3092430424
32	10		10.1082336639
32	12.5		8.2280252827
32	15		5.7402514855
34	-15		5.7402514855
34	-12.5		8.2705455333
34	-10		10.3083444236
34	-7.5		11.7739169968
34	-5		12.700095976
34	-2.5		13.1876281399
34	0		13.3365239349
34	2.5		13.1876281399
34	5		12.700095976
34	7.5		11.7739169968
34	10		10.3083444236
34	12.5		8.2705455333
34	15		5.7402514855
36	-15		5.7402514855
36	-12.5		8.3043415305
36	-10		10.4680663818
36	-7.5		12.1469540068
36	-5		13.3175437848
36	-2.5		13.9989165951
36	0		14.2214436728
36	2.5		13.9989165951
36	5		13.3175437848
36	7.5		12.1469540068
36	10		10.4680663818
36	12.5		8.3043415305
36	15		5.7402514855
38	-15		5.7402514855
38	-12.5		8.3260640483
38	-10		10.5710414052
38	-7.5		12.3884619274
38	-5		13.7189634306
38	-2.5		14.5279821664
38	0		14.7991777041
38	2.5		14.5279821664
38	5		13.7189634306
38	7.5		12.3884619274
38	10		10.5710414052
38	12.5		8.3260640483
38	15		5.7402514855
40	-15		5.7402514855
40	-12.5		8.3335534953
40	-10		10.6066017178
40	-7.5		12.4720441845
40	-5		13.8581929877
40	-2.5		14.711779206
40	0		15
40	2.5		14.711779206
40	5		13.8581929877
40	7.5		12.4720441845
40	10		10.6066017178
40	12.5		8.3335534953
40	15		5.7402514855
42	-15		5.7402514855
42	-12.5		8.3260640483
42	-10		10.5710414052
42	-7.5		12.3884619274
42	-5		13.7189634306
42	-2.5		14.5279821664
42	0		14.7991777041
42	2.5		14.5279821664
42	5		13.7189634306
42	7.5		12.3884619274
42	10		10.5710414052
42	12.5		8.3260640483
42	15		5.7402514855
44	-15		5.7402514855
44	-12.5		8.3043415305
44	-10		10.4680663818
44	-7.5		12.1469540068
44	-5		13.3175437848
44	-2.5		13.9989165951
44	0		14.2214436728
44	2.5		13.9989165951
44	5		13.3175437848
44	7.5		12.1469540068
44	10		10.4680663818
44	12.5		8.3043415305
44	15		5.7402514855
46	-15		5.7402514855
46	-12.5		8.2705455333
46	-10		10.3083444236
46	-7.5		11.7739169968
46	-5		12.700095976
46	-2.5		13.1876281399
46	0		13.3365239349
46	2.5		13.1876281399
46	5		12.700095976
46	7.5		11.7739169968
46	10		10.3083444236
46	12.5		8.2705455333
46	15		5.7402514855
48	-15		5.7402514855
48	-12.5		8.2280252827
48	-10		10.1082336639
